위반문장 원문,대안제시,부당특약 사유
22) 지하주차장 슬래브 거푸집 연결부에 돌출된 시멘트 페이스트는 반드시 제거하여야 하며 이와 관련한 파취는 “수급사업자”의 부담으로 하며 파취 후 반드시 물청소를 하도록 한다.,22) 지하주차장 슬래브 거푸집 연결부에 돌출된 시멘트 페이스트는 제거하여야 하며 이와 관련한 파취는 해당 작업 내역에 반영하여야 하며 파취 후 물청소를 하도록 한다.,원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"24) 콘크리트 타설, 외부 견출 작업 시 발생되는 이물질 등이 외부 창호, 유리류 등 훼손되었을 경우 즉시 제거해야 하며, 갱폼 인양후 별도 작업원 투입하여 청소 실시한다. 미제거에 의한 훼손 시 “수급사업자”의 비용으로 처리한다.","24) 콘크리트 타설, 외부 견출 작업 시 발생되는 이물질 등이 외부 창호, 유리류 등 훼손되었을 경우 즉시 제거해야 하며, 갱폼 인양후 별도 작업원 투입하여 청소 실시한다. (삭제) 미제거에 의한 훼손 시 “수급사업자”의 비용으로 처리한다.",불필요(합리적/객관적으로 당연한 사항)
26) 거푸집공사 각 계단실 형틀 및 철근 작업시에는 상부 작업인원에 대한 충분한 안전하중을 고려한 아래형태의 전용발판을 제작하여 사용하여야 하며 이를 견적시 반영하여야 한다.(사진 1. 참조),"26) 거푸집공사 각 계단실 형틀 및 철근 작업시에는 상부 작업인원에 대한 충분한 안전하중을 고려한 아래형태의 전용발판을 제작하여 사용하여야 하며 이를 견적시 해당 작업 내역에 반영하여야 한다.(사진 1. 참조)

※ 계약내역서상 어느 내역에 또는 관리비 및 이윤에 포함하여야 하는지 명확히 기재해 주세요. (또한, 공사성 비용을 간접비(관리비 및 이윤)에 포함시키지 않도록 주의하여 주시기 바랍니다.)",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
4) 현장여건에 의하여 작업방법 및 사양이 변경될 경우에는 반드시 안전팀과 협의를 거쳐 진행하도록 한다.,"4) 현장여건에 의하여 작업방법 및 사양이 변경될 경우에는 반드시 안전팀과 협의를 거쳐 진행하도록 한다.
(단, 추가비용 발생시 관련 비용은 협의하여 결정한다.)",수급사업자의 책임 없는 사유로 발생한 비용을 수급사업자에게 부담시키는 약정
5)  안전시설물을 설치하기 위한 사전 협의된 본 구조물의 작업을 제외하고 작업 중 본 구조물의 파손 및 훼손 등에 대하여는 변상하기로 한다.,(삭제),불필요(합리적/객관적으로 당연한 사항)
"6) 현장에 반입 및 사용하는 자재의 보관, 분실, 파손 등의 책임은 “을”이 진다.",6) 현장에 반입 및 사용하는 자재의 보관의 책임은 수급사업자에게 있다.,수급사업자의 책임 없는 사유로 발생한 비용을 수급사업자에게 부담시키는 약정
7) 현장에 투입되는 작업팀은 지정된 고정인력(2인1조 이상)으로 배치하고 건설현장의 근무하는데 결격사유가 없어야 한다.,"7) 현장에 투입되는 작업팀은 지정된 고정인력(2인1조 이상)으로 배치한다.
(삭제)건설현장의 근무하는데 결격사유가 없어야 한다.",불필요(합리적/객관적으로 당연한 사항)
"8) 소음, 진동이 발생하는 작업을 할 경우 주변 인접건물에 민원 대상이 되므로 작업 전 안전팀 공사팀과 협의 후 작업하도록 하며, 필요시 작업을 잠시 중지할 수 있다.",(삭제),"불필요(합리적/객관적으로 당연한 사항)
5.6 환경관리 조항 등 중복된 내용"
10) 작업인원이 투입되어 작업중이라도 현장에서 교체투입 요청이 있을 경우에 일주일이내 즉시 교체 투입한다.,(삭제),법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
11) 모든 작업에 대한 기성청구는 실물량 정산으로 한다.,(삭제),중복(3.9 정산방법)
"6.1 공통사항
6.1.6 “수급사업자”의 공정이 계획보다 현저히 늦어질 때, “원사업자”의 시정 지시가 제대로 이루어 지지 않을 때, “수급사업자”의 현장 정리 및 안전관리가 불량할 때 등의 사유 발생 시 “원사업자”의 판단에 의거 계약 범위의 전부 또는 일부를 변경, 조정할 수 있다.",(삭제),불필요(합리적/객관적으로 당연한 사항)
"6.1.7 “수급사업자”의 현장조직 중 현장소장, 공무, 안전관리자는 반드시 상주하여 현장관리를 한다.","6.1.7 “수급사업자”의 현장조직 중 현장소장, 공무, 안전관리자는 반드시 상주하여 현장관리를 한다.",
"6.1.8 공사에 필요한 각종 가시설 (작업용 발판, BT비계, 달비계, 말비계, 로프 등) 비용은 “수급사업자”가 설치/해체 하여야 한다.","6.1.8 공사에 필요한 각종 가시설 (작업용 발판, BT비계, 달비계, 말비계, 로프 등)의 설치/해체 비용은 “수급사업자”가 설치/해체 하여야 한다. 어느내역에 반영?",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.1.13 동절기에 방수공사가 투입될 시, 해당부위의 보양 및 온열기기 준비 등 동절기 공사비 일체는 “수급사업자”의 비용으로 수행하여야 한다. 단 열풍기사용시 유류는 “원사업자”가 지급하도록 한다.","6.1.13 동절기에 방수공사가 투입될 시, 해당부위의 보양 및 온열기기 준비 등 동절기 공사비 일체는 “수급사업자”의 비용으로 수행하여야 한다.어느내역에 반영? 단 열풍기사용시 유류는 “원사업자”가 지급하도록 한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6.1.14 지정폐기물 및 방수제 빈통 등은 현장에 방치되는 일이 없도록 “수급사업자”는 지정된 장소로 즉시 반출하도록 한다.,6.1.14 지정폐기물 및 방수제 빈통 등은 현장에 방치되는 일이 없도록 “수급사업자”는 지정된 장소(현장 km 이내?)로 즉시 반출하도록 한다.,위탁시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.2 시공
6.2.1 일반사항
6) 복합방수 공법상 지하주차장 지붕층 등 구조물 마구리의 방수 끝단부는 바닥끝 선에서 감아내리거나 감아올려야 하며, 외벽단부 감아내림 길이는 1m를 유지하고 지하주차장 외부 토사 되메우기 후 훼손부에 대한 시공은 복합방수 단가에 포함하여 견적한다. 감아올리는 부위 코너는 몰탈로 코너면접기 등을 하여야하며 별도내역없이 포함하여 시공한다.","6.2 시공
6.2.1 일반사항
6) 복합방수 공법상 지하주차장 지붕층 등 구조물 마구리의 방수 끝단부는 바닥끝 선에서 감아내리거나 감아올려야 하며, 외벽단부 감아내림 길이는 1m를 유지하고 지하주차장 외부 토사 되메우기 후 훼손부에 대한 시공은 복합방수 단가에 포함하여 견적한다. 감아올리는 부위 코너는 몰탈로 코너면접기 등을 하여야하며 별도내역없이 포함하여 시공한다. 어느내역에 반영?",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"7) 방근방수 공법은 아래 표의 제품 중 “원사업자”의 승인을 득한 공법으로 시공하여야 하며, 해당 시방 및 제품사양서 기준에 따른다.
※ 방수자재가 유기용매에 의해 녹아 누유되지 않도록 철저히 관리하고, 누유발생 시 전면 재시공한다.","7) 방근방수 공법은 아래 표의 제품 중 “원사업자”의 승인을 득한 공법으로 시공하여야 하며, 해당 시방 및 제품사양서 기준에 따른다.
※ 방수자재가 유기용매에 의해 녹아 누유되지 않도록 철저히 관리하고, 수급사업자의 귀책사유로 누유발생 시 재시공한다.",수급사업자의 책임 없는 사유로 발생한 비용을 수급사업자에게 부담시키는 약정
"8) 복합방수(아스팔트 재료)와 우레탄 방수가 만나는 부위는 신나(희석제)사용을 금지한다. 또한, 주자재에 임의로 희석재 투입이 적발된 경우에는 시공된 부위는 원상복구 또는 복구에 소요되는 손해액을 변상조치하여야 하며 이에 따른 공기만회방안을 제시하여야 한다. 아울러 작업반장을 포함한 작업자는 전원 교체한다.","8) 복합방수(아스팔트 재료)와 우레탄 방수가 만나는 부위는 신나(희석제)사용을 금지한다. 또한, 주자재에 임의로 희석재 투입이 적발된 경우에는 시공된 부위는 원상복구 또는 복구에 소요되는 손해액을 변상조치하여야 하며 이에 따른 공기만회방안을 제시하여야 한다. 아울러 작업반장을 포함한 작업자는 전원 교체한다.",법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
"6.2.2 지하주차장 외벽 내부면 바닥
1) 방수업체는 지하주차장 공구간 경계부위에 대해 시공계획서에 보강공사를 포함한 시공방법을 제시하여야 하며, 경계부위에서의 방수공사에 필요한 모든 보강공사를 포함하여 견적한다.","6.2.2 지하주차장 외벽 내부면 바닥
1) 방수업체는 지하주차장 공구간 경계부위에 대해 시공계획서에 보강공사를 포함한 시공방법을 제시하여야 하며, 경계부위에서의 방수공사에 필요한 모든 보강공사를 포함하여 견적한다. 어느내역에?",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.2.6 정리정돈
2) 계약내역에 관련된 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 교통 통제원의 추가 비용은 투찰 시 “수급사업자”의 부담으로 견적에 반영하도록 한다.","6.2.6 정리정돈
2) 계약내역에 관련된 현장 내 정리정돈 및 청소요원배치, 장비 및 자재 반출입 시의 교통 통제원의 추가 비용은 투찰 시 “수급사업자”의 부담으로 견적에 반영하도록 한다. 어느내역에?",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"3) 작업을 착수하는 부위는 선행 공종과 청소가 완료된 상태에서 인수인계를 하여야 하며, 청소가 미흡한 상태에서 인수시 “수급사업자”의 책임으로 청소하여야 한다.",3) 작업을 착수하는 부위는 선행 공종과 청소가 완료된 상태에서 인수인계를 하여야 한다.,법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
"5) 세대 방수 작업 중 발생하는 발자국 및 각종 창호하부 액체방수 이물질 제거 및 청소를 철저히 하여야 하며, 미 이행시에는 “원사업자”에서 용역투입할 수 있으며 이 비용을 “수급사업자”에게 정산한다.",5) 세대 방수 작업 중 발생하는 발자국 및 각종 창호하부 액체방수 이물질 제거 및 청소를 철저히 하여야 한다.,법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
"6.0.1 PF기초 본공사 착수 전 시험시공을 통하여 시공품질여부 확인 후 본공사가 투입될 수 있도록 시공계획을 수립하고, 시험시공비는 견적에 포함","6.0.1 PF기초 본공사 착수 전 시험시공을 통하여 시공품질여부 확인 후 본공사가 투입될 수 있도록 시공계획을 수립하고, 시험시공비는 견적(어느내역에?)에 포함",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.0.3 플랜트 설치 범위는 적정한 곳을 지정하고, 이후 현장 내 이동이 발생되지 않도록 계획수립하여 추가이동이 발생되지 않도록 설치요망. 이후 추가이동 발생시 발생하는 비용은 ‘수급사업자’가 부담한다.","6.0.3 플랜트 설치 범위는 적정한 곳을 지정(어떤 설치범위가 적정한 곳인가요?)하고, 이후 현장 내 이동이 발생되지 않도록 계획수립하여 추가이동이 발생되지 않도록 설치요망. (삭제)이후 추가이동 발생시 발생하는 비용은 ‘수급사업자’가 부담한다.",위탁시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정
"6.0.4 굴착토처리는 원칙적으로 수급사업자 부담으로 처리하며, 필요시 견적에 반영한다. 단, 별도의 토공사 협력사가 상주하므로 상호간에 협의하여 공사비절감방안이 수립될 시 원사업자의 동의 하에 처리한다.","6.0.4 굴착토처리는 원칙적으로 수급사업자 부담으로 처리하며, 필요시 견적(어느내역에?)에 반영한다. 단, 별도의 토공사 협력사가 상주하므로 상호간에 협의하여 공사비절감방안이 수립될 시 원사업자의 동의 하에 처리한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
"6.0.5 계약업무와는 별도로 공사착수업무를 조속히 시행하되, 차수별 공사투입시기 및 공정표를 별도로 원수급자의 요구일정에 맞추어 제출한다.",(삭제),법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
"6.0.6 현장대리인 또는 현장소장은 특급기술자 경력 이상의 자격을 갖추어야 하며, 원사업자의 요청 시 토질 및 기초기술사 보유한 기술자를 현장에 상주시켜야 한다.","6.0.6 현장대리인 또는 현장소장은 특급기술자 경력 이상의 자격을 갖추어야 하며, 원사업자의 요청 시 토질 및 기초기술사 보유한 기술자의 현장 상주에 적극 협조한다.","원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정

법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정"
"6.0.7 수급사업자는 적용된 공법이 특허공법인 점을 감안하여 감리단 및 시공사,발주처 등의 요구시에는 모든 기술자료 및 설명을 충분히 제공하고 공유해야 할 책임이 있으며, 공사의 품질확보와 안전관리, 공기관리에 있어 원사업자의 요청과 지시에 적극 협력한다.","6.0.7 수급사업자는 적용된 공법이 특허공법인 점을 감안하여 감리단 및 시공사,발주처 등의 요구시에는 모든(삭제) 기술자료 및 설명을 충분히 제공하도록 적극 협조하며, 공사의 품질확보와 안전관리, 공기관리에 있어 원사업자의 요청과 지시에 적극 협력한다.",법에 따라 인정되거나 법에서 보호하는 수급사업자의 권리·이익을 부당하게 제한하는 약정
"6.1 통신, 소방전기 각 시스템별 성능확인을 위해 필요하다고 판단되는 검사 및 TEST 비용, 주요자재의 공인기관 시험의뢰 비용 포함 한다.","6.1 통신, 소방전기 각 시스템별 성능확인을 위해 필요하다고 판단되는 검사 및 TEST 비용, 주요자재의 공인기관 시험의뢰 비용 포함(어느내역에?) 한다.",원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
6.2 정보통신공사 완료 후 사용전검사와 동시에 인증명판을 발부 받아  “원사업자”이 지정한 장소에 설치하여야 한다. 이에 따른 설치 비용은 “수급사업자”의 부담으로 본 견적 시 포함하여야 한다.,6.2 정보통신공사 완료 후 사용전검사와 동시에 인증명판을 발부 받아  “원사업자”이 지정한 장소(현장 몇 KM 이내)에 설치하여야 한다. 이에 따른 설치 비용은 “수급사업자”의 부담으로 본 견적 시 (어느 내역에?) 포함하여야 한다.,"위탁시점에 원사업자와 수급사업자가 예측할 수 없는 사항과 관련하여 수급사업자에게 불합리하게 책임을 부담시키는 약정

원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정"
6.19 지하주차장 급배기 공조설비를 화재시 제연휀으로 동작 되도록 선로 구성 및 프로그램 연동되도록 견적에포함 한다. (성능위주 심의 내용),6.19 지하주차장 급배기 공조설비를 화재시 제연휀으로 동작 되도록 선로 구성 및 프로그램 연동되도록 견적에(어느내역에?)포함 한다. (성능위주 심의 내용),원사업자가 입찰내역에 없는 사항을 요구함에 따라 발생된 비용을 수급사업자에게 부담시키는 약정
매월 안전관리비는 실적에 의거 실비 정산하고 이월 정산은 인정하지 아니하며 소량의 금액일지라도 당월 기성 청구를 한다,매월 안전관리비는 실적에 의거 실비 정산하고 이월 정산은 인정하지 아니하며 소량의 금액일지라도 당월 기성 청구를 한다 당월 기성 청구 및 정산을 원칙으로 한다.,수급사업자의 권리를 제한하는 약정
"""수급사업자"" 의 공정이 계획보다 현저히 늦어질 때, ""원사업자의"" 의 시정 지시가 제대로 이루어지지 않을 때, ""수급사업자""의 현장 정리 및 안전관리자 불량할 때 등의 사유 발생 시 ""원사업자""의 판단에 의거 계약 범위의 전부 또는 일부를 변경, 조정할 수 있다","""수급사업자"" 의 공정이 계획보다 현저히 늦어질 때, ""원사업자"" 의 시정 지시가 제대로 이루어지지 않을 때, ""수급사업자""의 현장 정리 및 안전관리자 불량할 때 등의 수급사업자로 인한 사유 발생 시 기준에 따라  ""원사업자""의 판단에 의거 계약 범위의 전부 또는 일부를 해제 또는 해지 변경, 조정할 수 있다","계약 해제 · 해지의 사유가 관계법령, 표준하도급계약서 등의 기준에 비해 수급사업자에게 불리한 내용이 설정된 경우"
"(27 page)
6.2.15 지상1층 브라켓 철골(용접부위 등) 해체비용을 포함하여 견적한다.","6.2.15 지상1층 브라켓 철골(용접부위 등) 해체비용을 포함하여 ""XXX (내역명 명기)"" 견적한다.","현장확인결과, 해당 내역 예)""지상 1층 최초 조립, 설치비""가 존재 하고, 해당 내역을 다시한번 강조하는 의미로 작성하였다고 하나, 비용을 내역화 및 사양서에도 정확히 명기하여야 함"
"(27 page)
6.2.16 현수에 필요한 스리브 설치/해체를 견적에 포함한다","6.2.16 현수에 필요한 스리브 설치/해체를  ""XXX (내역명 명기)"" 내역견적에 포함한다",
"(22page)
13) 공사에 필요한 각종 가시설 비용, (후략)","13) 공사에 필요한 각종 가시설 비용, (가시설 구체화 명기 필요)",
"(22page)
16) 각종 자재 검수에 소요되는 “수급사업자”의 투입 인원에 대한 경비를 해당작업내역에 포함하여 견적한다.",16) '수급사업자'가 공급하는 각종 자재 검수에 소요되는 “수급사업자”의 투입 인원에 대한 경비를 해당작업내역에 포함하여 견적한다.,
"(23page)
6.1.7 모든 시험 방법 및 횟수는 건축설비공사 표준 시방서, 신재생에너지 관련 법규에 따르며, 각종 시험비는 “수급사업자”의 부담으로 열전도 테스트 비용을 관리비 및 이윤에 포함해 투찰한다.","6.1.7 모든 시험 방법 및 횟수는 건축설비공사 표준 시방서, 신재생에너지 관련 법규에 따르며, 각종 시험비는 “수급사업자”의 부담으로 열전도 테스트 비용을 관리비 및 이윤에 포함해 투찰한다.",
"(20 page)
5.9.1 납품범위 및 내용은 “원사업자”의 현장여건에 따라 변경될 수 있으며 본 공사와 관련하여 신규 품목이 발생시 당사 설계변경 기준에 따른다.","전문삭제
☞ 범위와 내용이 변경되었을 때는 계약변경을 하여야 함, 신규 품목 발생 시
양사 합의하여 결정하여야 함",
"3.1.2 기성지급
2) 지정위치 입고 후 검사 합격품 90%지불, 시공완료 검사 후 10%지불","2) 지정위치 입고 후 검사 합격품 90%지불, 시공완료 검사 후 10%지불
item 내역에 따라 [기기(설비)와 시공(시운전)] 지급하여야 하므로 삭제 
삭제가 불가능할시, 현장작성 특기사항에 해당 내용 명확하게 재 명기 필요",
5.9.1 납품범위 및 내용은 “원사업자”의 현장여건에 따라 변경될 수 있으며 본 공사와 관련하여 신규 품목이 발생시 당사 설계변경 기준에 따른다.,"전문삭제
☞ 범위와 내용이 변경되었을 때는 계약변경을 하여야 함, 신규 품목 발생 시
양사 합의하여 결정하여야 함",
"40 page)
5. 공사범위 
1) 상기항에 명기된 공사 및 발전기 반입 설치 후 침수 대비 등 주기적 관리(청소)",침수대비 등 주기적 관리가 어떤 부분인지 정확한 명기가 필요,
"40 page) 
5. 공사 범위 
2) 요청검사, 사용전검사, 전기수전, 소방검사, 승강기 완성검사 등 각종 대관 업무시에는 제반 사항의 신속 처리를 위하여 기술요원을 당일 현장에 투입시켜야 하고, 입주후에도 일정기간 기술요원을 상주시켜 시설운영팀과 인수인계(관련 자료 및 매뉴얼 포함)에 차질이 없도록 업무를 수행하며 현장 상주에 대한 일체 비용은 계약금액에 포함한다.","1) 검사 일정 및 대관 업무에 대한 내용을 명기, 입주후 일정기간 상세화
2) 제반, 일체 단어 삭제
3) 현장 상주에 대한 비용이 어느 내역에 포함하여야 하는지 명기",
"3) 안전시설 설치 및 가설공사(※별도내역없음, 필히 수행)",별도 내역 없음' 문구 삭제,
"4) 계약자가 수행할 공사는 현행법규에 준하며, 계약도서(시공도면, 내역서, 시방 및 구입사양서)간 각종 규격, 사양이 상이할 시에는 당사의 지시에 따라 계약자 부담으로 수행한다.","4) 계약자가 수행할 공사는 현행법규에 준하며, 계약도서(시공도면, 내역서, 시방 및 구입사양서)간 각종 규격, 사양이 상이할 시에는 양자 협의하여 결정한다.",
"18) ACB, 디지털보호계전기, MCCB는 LS산전 제품을 사용한다.","18) ACB, 디지털보호계전기, MCCB는 LS산전 제품을 사용한다. (사유 명기)
  또는, ACB, 디지털보호계전기, MCCB는 LS 산전 제품 동등 이상을 사용한다.",
"6.4 상기 과업과 관련된 모든 인허가 절차와 관련서류의 준비, 접수 등 및 일체의 대관 업무를 포함하도록 하며 사용전 검사비용을 포함한다.","6.4 상기 과업과 관련된 모든 인허가 절차와 관련서류의 준비, 접수 등 및 일체의 대관 업무에 성실히 협조하여야 한다., 를 포함하도록 하며 사용전 검사비용을 포함한다.",
"(29 page)
6.19 근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 각 공사 노무비 내역에 반영하며, 이로 인한 금액 증감은 없으므로 이를 충분히 반영하여 투찰한다.","6.19 근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 각 공사 노무비 내역에 반영한다.하며, 이로 인한 금액 증감은 없으므로 이를 충분히 반영하여 투찰한다",
"(35 page)
8) 일부 타일은 현장 컷팅이 발생할 수 있으므로 해당내역에 포함하여 투찰한다.","8) 일부 타일은 현장 컷팅이 발생할 수 있으므로 해당내역에 포함하여 투찰한다.
현장 컷팅이 발생할수 있는 상황을 설명하여야 금액 산정이 가능하므로,
만일 상황설명이 불가능하다면 해당 문구는 삭제",
"(30 page)
6.1.2 근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 각 공사 노무비 내역에 반영하며, 이로 인한 금액 증감은 없으므로 이를 충분히 반영하여 투찰한다.","6.1.2 근로기준법 관련하여 근로시간단축(주52시간)에 따른 추가 인원 및 장비의 투입관련 비용은 각 공사 노무비 내역에 반영한다.하며, 이로 인한 금액 증감은 없으므로 이를 충분히 반영하여 투찰한다",